arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
SpatialMamba,SSM,temp,2,weighted,"[-99.0, 0.9639]",-49.0181,0.9634,0.9293,0.9634,0.9293,0.9634,339.5,29.2,467.3,98.6
SpatialMamba,SSM,temp,2,momentum,"[-99.0, 0.9639]",-49.0181,0.9621,0.9241,0.9621,0.9241,0.9621,339.5,28.1,467.1,99.5
SpatialMamba,SSM,temp,2,belief,"[-99.0, 0.9639]",-49.0181,0.9624,0.9266,0.9624,0.9266,0.9624,339.5,27.9,464.6,97.2
SpatialMamba,SSM,temp,4,fedavg,"[-99.0, -99.0, -99.0, 0.961]",-74.0097,0.9534,0.9219,0.9534,0.9219,0.9534,502.1,27.9,633.0,103.0
SpatialMamba,SSM,temp,4,weighted,"[-99.0, -99.0, -99.0, 0.961]",-74.0097,0.953,0.9256,0.953,0.9256,0.953,502.1,27.9,630.2,100.2
SpatialMamba,SSM,temp,4,momentum,"[-99.0, -99.0, -99.0, 0.961]",-74.0097,0.9567,0.9221,0.9567,0.9221,0.9567,502.1,28.2,629.6,99.2
SpatialMamba,SSM,temp,4,belief,"[-99.0, -99.0, -99.0, 0.961]",-74.0097,0.9551,0.9295,0.9551,0.9295,0.9551,502.1,27.8,632.5,102.6
SpatialMamba,SSM,temp,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9547, 0.9393]",-74.0132,0.9447,0.9193,0.9447,0.9193,0.9447,530.4,28.0,661.1,102.8
SpatialMamba,SSM,temp,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9547, 0.9393]",-74.0132,0.9511,0.921,0.9511,0.921,0.9511,530.4,28.7,663.9,104.8
SpatialMamba,SSM,temp,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9547, 0.9393]",-74.0132,0.9525,0.9148,0.9525,0.9148,0.9525,530.4,28.1,661.8,103.4
SpatialMamba,SSM,temp,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9547, 0.9393]",-74.0132,0.9493,0.9177,0.9493,0.9177,0.9493,530.4,29.2,662.3,102.8
SpatialBiGRU,SSM,temp,1,baseline,[0.9515],0.9515,0.9515,0.9148,0.9515,0.9148,0.9515,190.3,29.8,220.1,
SpatialBiGRU,SSM,temp,2,fedavg,"[-99.0, 0.9642]",-49.0179,0.9605,0.9154,0.9605,0.9154,0.9605,396.9,29.2,535.6,109.5
SpatialBiGRU,SSM,temp,2,weighted,"[-99.0, 0.9642]",-49.0179,0.9602,0.9171,0.9602,0.9171,0.9602,396.9,29.5,536.6,110.2
SpatialBiGRU,SSM,temp,2,momentum,"[-99.0, 0.9642]",-49.0179,0.9604,0.9167,0.9604,0.9167,0.9604,396.9,29.5,536.2,109.8
SpatialBiGRU,SSM,temp,2,belief,"[-99.0, 0.9642]",-49.0179,0.959,0.923,0.959,0.923,0.959,396.9,29.6,537.7,111.3
SpatialBiGRU,SSM,temp,4,fedavg,"[-99.0, -99.0, -99.0, 0.9595]",-74.0101,0.9599,0.9209,0.9599,0.9209,0.9599,519.5,29.3,657.4,108.6
SpatialBiGRU,SSM,temp,4,weighted,"[-99.0, -99.0, -99.0, 0.9595]",-74.0101,0.9596,0.9191,0.9596,0.9191,0.9596,519.5,29.1,659.1,110.4
SpatialBiGRU,SSM,temp,4,momentum,"[-99.0, -99.0, -99.0, 0.9595]",-74.0101,0.9579,0.9276,0.9579,0.9276,0.9579,519.5,29.3,667.4,118.6
SpatialBiGRU,SSM,temp,4,belief,"[-99.0, -99.0, -99.0, 0.9595]",-74.0101,0.957,0.9193,0.957,0.9193,0.957,519.5,29.1,671.1,122.5
